type,initial_threshold,final_threshold,late_threshold,step_initial,step_final,step_late,kl_index,kl_name,n,pearson_r,pearson_p,spearman_r,spearman_p
early_mid_vs_improvement,0.5,0.2,nan,330,368,-1,0,H(~p|p),144,-0.11264254363985643,0.17887981097662375,-0.13094539541480885,0.11772516246116062
early_mid_vs_improvement,0.5,0.2,nan,330,368,-1,1,H(p|~p),144,0.12400515141648531,0.13865601266858704,0.13164266983493267,0.11576583859476593
early_mid_vs_improvement,0.5,0.19,nan,330,370,-1,0,H(~p|p),144,-0.09485079624858372,0.2581219414666212,-0.11249326802532487,0.17946007368477937
early_mid_vs_improvement,0.5,0.19,nan,330,370,-1,1,H(p|~p),144,0.15303339986439957,0.06707106549583551,0.1488942699041266,0.07489594965921473
early_mid_vs_improvement,0.5,0.18000000000000002,nan,330,372,-1,0,H(~p|p),144,-0.07843239152309697,0.3500840383890188,-0.09565283810549524,0.2540999954412711
early_mid_vs_improvement,0.5,0.18000000000000002,nan,330,372,-1,1,H(p|~p),144,0.17847544117535974,0.032334229814510916,0.16203844183803434,0.05233624242525873
early_mid_vs_improvement,0.5,0.17,nan,330,374,-1,0,H(~p|p),144,-0.061960467175267056,0.46066351169046027,-0.07356735781684041,0.38086563128976814
early_mid_vs_improvement,0.5,0.17,nan,330,374,-1,1,H(p|~p),144,0.20292752624217653,0.014713986515831615,0.18037517458484795,0.030509302853680483
early_mid_vs_improvement,0.5,0.16,nan,330,376,-1,0,H(~p|p),144,-0.04645600119256831,0.5803236242506754,-0.05784024510173462,0.49106839806841085
early_mid_vs_improvement,0.5,0.16,nan,330,376,-1,1,H(p|~p),144,0.224990504178827,0.0067038687887413725,0.19319983523034545,0.020335707620582833
early_mid_vs_improvement,0.5,0.15000000000000002,nan,330,379,-1,0,H(~p|p),144,-0.02046263128607797,0.8076668996740762,-0.03574672642170994,0.6705756177857489
early_mid_vs_improvement,0.5,0.15000000000000002,nan,330,379,-1,1,H(p|~p),144,0.2600825712779042,0.0016430760541364564,0.21060616718134817,0.011285480284521242
early_mid_vs_improvement,0.5,0.14,nan,330,381,-1,0,H(~p|p),144,-0.004086150431659309,0.9612327658091131,-0.020530051558589425,0.8070455498950344
early_mid_vs_improvement,0.5,0.14,nan,330,381,-1,1,H(p|~p),144,0.2814418875007393,0.0006326627039247269,0.22084057593526835,0.007816045192923683
early_mid_vs_improvement,0.5,0.13,nan,330,384,-1,0,H(~p|p),144,0.01953499474574441,0.8162280907445093,0.007242590624232214,0.9313434034060364
early_mid_vs_improvement,0.5,0.13,nan,330,384,-1,1,H(p|~p),144,0.3124234675239303,0.00013768682096274804,0.24417494751400806,0.003184541569851565
